,Source,Filter,Obs_number,Detected Name,Date obs,RA,DEC,Error_circle (arcsec),Position_source,nH,Mag_raw,Mag_err,Upper_limit,zp_offset,SExtractor_Flag,Astrometric_err,An_extinction,An_extinction_err,Mag_corr,Mag_err_corr,Flux (erg/s/cm2),Flux_err,F_NIR_upplim,Distance (kpc),D_errup,D_errlow,Distance_source,L_NIR,L_NIR_errup,L_NIR_errlow,L_NIR_upplim,Xray_Flux (erg/s/cm2),Xray_errup,Xray_errlow,Xray_upplim,Xray_Flux_source,L_X,L_X_errup,L_X_errlow,L_X_upplim,Comments
0,RX_J1735.3-3540,J,3081,S,2014-05-07,17 35 23.75,-35 40 16.1,0.56,"Israel+2008, UVOT",5.76e+21,15.005684,0.0065879184,,-0.2332312953,3.0,0.165407785,0.9074413408,0.01520851409,14.3314741,0.01687038154,2.96e-12,1.79e-14,,9.5,,,Degenaar+2010,3.1963172310636796e+34,,,,2e-11,5e-12,5e-12,,Thesis Bilal 2018,2.1596738047727563e+35,,,,
1,RX_J1735.3-3540,J,3090,S,2014-05-07,17 35 23.75,-35 40 16.1,0.56,"Israel+2008, UVOT",5.76e+21,15.193452,0.0069119334,,-0.09230352592,3.0,0.1578076406,0.9074413408,0.01520851409,14.37831382,0.01690025249,2.83e-12,1.8e-14,,9.5,,,Degenaar+2010,3.05593843375345e+34,,,,2e-11,5e-12,5e-12,,Thesis Bilal 2018,2.1596738047727563e+35,,,,
2,RX_J1735.3-3540,H,3063,S,2014-05-07,17 35 23.75,-35 40 16.1,0.56,"Israel+2008, UVOT",5.76e+21,11.520804,0.005020459,,-2.642213306,3.0,0.2269178702,0.5631284916,0.009437907681,13.59988878,0.01151984938,4.25e-12,1.97e-14,,9.5,,,Degenaar+2010,4.589306835142108e+34,,,,2e-11,5e-12,5e-12,,Thesis Bilal 2018,2.1596738047727563e+35,,,,Initially very large magnitude offset but seems okay after magnitude calibration
3,RX_J1735.3-3540,H,3072,S,2014-05-07,17 35 23.75,-35 40 16.1,0.56,"Israel+2008, UVOT",5.76e+21,12.898906,0.0050091133,,-1.100972431,3.0,0.2379024626,0.5631284916,0.009437907681,13.43674944,0.01172033115,4.94e-12,2.28e-14,,9.5,,,Degenaar+2010,5.334394297788709e+34,,,,2e-11,5e-12,5e-12,,Thesis Bilal 2018,2.1596738047727563e+35,,,,Initially large magnitude offset but seems okay after magnitude calibration
4,RX_J1735.3-3540,Ks,3045,S,2014-05-07,17 35 23.75,-35 40 16.1,0.56,"Israel+2008, UVOT",5.76e+21,12.577108,0.005271042,,-1.016910098,3.0,0.2142712848,0.3604022346,0.006040260916,13.2336167,0.00975892102,3.86e-12,1.87e-14,,9.5,,,Degenaar+2010,4.1681704432114205e+34,,,,2e-11,5e-12,5e-12,,Thesis Bilal 2018,2.1596738047727563e+35,,,,Initially large magnitude offset but seems okay after magnitude calibration
5,RX_J1735.3-3540,Ks,3054,S,2014-05-07,17 35 23.75,-35 40 16.1,0.6,"Israel+2008, UVOT",5.76e+21,11.780809,0.005404328,,-1.933734593,3.0,0.1862397572,0.3604022346,0.006040260916,13.35414206,0.009404964203,3.45e-12,1.72e-14,,9.5,,,Degenaar+2010,3.725437313233005e+34,,,,2e-11,5e-12,5e-12,,Thesis Bilal 2018,2.1596738047727563e+35,,,,Initially very large magnitude offset but seems okay after magnitude calibration & used error circle of 0.6 instead of 0.56 to include source
6,UW_Crb,Ks,1081,S,2018-06-19,16 05 45.8746697208,25 51 45.246497976,0.1,"Gaia Collaboration 2020, Gaia",4.2e+20,19.13562,0.12863089,,0.01200971669,0.0,0.3165047671,0.02627932961,0.0004404356918,19.09733021,0.1298499879,1.74e-14,2.06e-15,,,,,,,,,,1.2e-11,,,,Jonker+2003,,,,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~4 GDR sources
7,UW_Crb,H,1086,S,2018-06-19,16 05 45.8746697208,25 51 45.246497976,0.1,"Gaia Collaboration 2020, Gaia",4.2e+20,19.830853,0.09587682,,-0.0009202942551,0.0,0.4138715746,0.04106145251,0.0006881807684,19.7907104,0.09637936362,1.42e-14,1.25e-15,,,,,,,,,,1.2e-11,,,,Jonker+2003,,,,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~4 GDR sources
8,UW_Crb,J,1091,S,2018-06-19,16 05 45.8746697208,25 51 45.246497976,0.1,"Gaia Collaboration 2020, Gaia",4.2e+20,19.893389,0.062430993,,-0.0234973225,0.0,0.3517414173,0.06616759777,0.001108954152,19.85071778,0.06306966683,1.83e-14,1.05e-15,,,,,,,,,,1.2e-11,,,,Jonker+2003,,,,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~4 GDR sources
9,4U_1822-00,Ks,1170,S,2018-06-19,18 25 22.020,-00 00 43.00,0.6,"Juett&Chakrabarty 2005, Chandra",3.36e+21,18.173767,0.045503363,,-0.04249080554,0.0,0.06444338825,0.2102346369,0.003523485534,18.00602246,0.04598160065,4.76e-14,1.99e-15,,6.3,2.0,2.0,Shahbaz+2007,2.2604713449440998e+32,1.0192442694277066e+32,1.0192442694277066e+32,,,,,,Asai+2022,,,,,
